# VulnTrends — Vulnerabilities fixed (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2025-12,Mozilla,3
2026-01,Apple,2
2026-01,Fortinet,1
2026-01,Microsoft,4
2026-01,Mozilla,20
2026-02,Apple,83
2026-02,Fortinet,2
2026-02,Microsoft,7493
2026-02,Mozilla,52
2026-03,Apple,67
2026-03,Fortinet,4
2026-03,Microsoft,357
2026-03,Mozilla,51
2026-04,Apple,23
2026-04,Microsoft,619
2026-04,Mozilla,48
2026-05,Apple,93
2026-05,Fortinet,1
2026-05,Mozilla,38
2026-06,Apple,38
2026-06,Fortinet,2
2026-06,Google,59
2026-06,Microsoft,781
2026-06,Mozilla,47
2026-06,Palo Alto,11
2026-07,Adobe,89
2026-07,Fortinet,1
2026-07,Google,50
2026-07,Microsoft,13511
2026-07,Mozilla,67
2026-07,Palo Alto,14
