# VulnTrends — Vulnerabilities discovered (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2005-09,Microsoft,2
2005-09,Mozilla,3
2005-09,Oracle,1
2005-10,Apple,2
2005-10,Microsoft,5
2005-10,Oracle,6
2005-11,Apple,6
2005-11,Cisco,3
2005-11,Microsoft,1
2005-11,Oracle,31
2005-12,Adobe,2
2005-12,Apple,10
2005-12,Cisco,4
2005-12,Microsoft,18
2005-12,Oracle,3
2006-01,Microsoft,4
2006-01,Oracle,40
2006-02,Adobe,1
2006-02,Microsoft,10
2006-02,Oracle,8
2006-03,Adobe,1
2006-03,Apple,2
2006-03,Microsoft,15
2006-03,Oracle,4
2006-04,Adobe,6
2006-04,Apple,5
2006-04,Cisco,5
2006-04,Microsoft,17
2006-04,Mozilla,28
2006-04,Oracle,23
2006-05,Adobe,1
2006-05,Apple,12
2006-05,Cisco,4
2006-05,Microsoft,7
2006-05,Oracle,4
2006-06,Adobe,1
2006-06,Apple,2
2006-06,Cisco,2
2006-06,Microsoft,20
2006-06,Oracle,2
2006-07,Adobe,4
2006-07,Apple,2
2006-07,Cisco,6
2006-07,Microsoft,48
2006-07,Mozilla,14
2006-07,Oracle,29
2006-08,Adobe,1
2006-08,Apple,1
2006-08,Cisco,1
2006-08,Microsoft,19
2006-08,Oracle,3
2006-09,Adobe,5
2006-09,Apple,8
2006-09,Cisco,2
2006-09,Microsoft,10
2006-09,Mozilla,11
2006-10,Adobe,5
2006-10,Apple,2
2006-10,Cisco,3
2006-10,Microsoft,24
2006-10,Oracle,48
2006-11,Adobe,1
2006-11,Apple,2
2006-11,Cisco,4
2006-11,Microsoft,8
2006-12,Adobe,5
2006-12,Apple,2
2006-12,Cisco,2
2006-12,Microsoft,28
2006-12,Mozilla,11
2006-12,Oracle,3
2007-01,Adobe,5
2007-01,Apple,14
2007-01,Cisco,5
2007-01,Microsoft,19
2007-01,Mozilla,1
2007-01,Oracle,33
2007-02,Adobe,3
2007-02,Apple,5
2007-02,Cisco,5
2007-02,Microsoft,23
2007-02,Mozilla,14
2007-03,Adobe,2
2007-03,Apple,10
2007-03,Cisco,1
2007-03,Microsoft,9
2007-03,Mozilla,1
2007-03,Oracle,8
2007-04,Adobe,5
2007-04,Apple,4
2007-04,Cisco,5
2007-04,Microsoft,8
2007-04,Mozilla,1
2007-04,Oracle,29
2007-05,Adobe,2
2007-05,Apple,7
2007-05,Cisco,1
2007-05,Microsoft,27
2007-05,Mozilla,7
2007-05,Oracle,5
2007-06,Apple,11
2007-06,Cisco,1
2007-06,Microsoft,24
2007-06,Oracle,1
2007-07,Adobe,3
2007-07,Apple,11
2007-07,Cisco,5
2007-07,Microsoft,19
2007-07,Mozilla,11
2007-07,Oracle,19
2007-07,Samsung,1
2007-08,Adobe,1
2007-08,Apple,14
2007-08,Cisco,7
2007-08,Microsoft,17
2007-08,Oracle,1
2007-09,Adobe,2
2007-09,Apple,10
2007-09,Cisco,3
2007-09,Microsoft,10
2007-09,Oracle,1
2007-10,Adobe,3
2007-10,Apple,2
2007-10,Cisco,4
2007-10,Microsoft,12
2007-10,Mozilla,9
