# VulnTrends — Severity mix (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,severity,count
2019-11,critical,7
2019-11,high,23
2019-11,medium,40
2019-12,critical,26
2019-12,high,120
2019-12,medium,35
2020-01,critical,16
2020-01,high,79
2020-01,low,13
2020-01,medium,165
2020-02,critical,22
2020-02,high,67
2020-02,medium,34
2020-03,critical,27
2020-03,high,67
2020-03,low,1
2020-03,medium,30
2020-04,critical,18
2020-04,high,159
2020-04,low,19
2020-04,medium,135
2020-05,critical,9
2020-05,high,50
2020-05,medium,37
2020-06,critical,4
2020-06,high,123
2020-06,low,6
2020-06,medium,71
2020-07,critical,21
2020-07,high,114
2020-07,low,11
2020-07,medium,126
2020-08,critical,2
2020-08,high,59
2020-08,low,7
2020-08,medium,85
2020-09,critical,11
2020-09,high,59
2020-09,low,1
2020-09,medium,64
2020-10,critical,12
2020-10,high,143
2020-10,low,17
2020-10,medium,145
2020-11,critical,6
2020-11,high,60
2020-11,low,7
2020-11,medium,69
2020-12,critical,8
2020-12,high,52
2020-12,low,6
2020-12,medium,26
2021-01,critical,26
2021-01,high,180
2021-01,low,9
2021-01,medium,146
2021-02,critical,6
2021-02,high,55
2021-02,low,3
2021-02,medium,37
2021-03,critical,10
2021-03,high,58
2021-03,low,11
2021-03,medium,44
2021-04,critical,18
2021-04,high,140
2021-04,low,13
2021-04,medium,115
2021-05,critical,8
2021-05,high,44
2021-05,low,1
2021-05,medium,35
2021-06,critical,5
2021-06,high,60
2021-06,low,7
2021-06,medium,50
2021-07,critical,12
2021-07,high,118
2021-07,low,12
2021-07,medium,112
2021-08,critical,6
2021-08,high,104
2021-08,low,22
2021-08,medium,55
2021-09,critical,15
2021-09,high,131
2021-09,low,21
2021-09,medium,83
2021-10,critical,10
2021-10,high,100
2021-10,low,13
2021-10,medium,136
2021-11,critical,2
2021-11,high,57
2021-11,low,7
2021-11,medium,60
2021-12,critical,7
2021-12,high,62
2021-12,low,12
2021-12,medium,49
2022-01,critical,19
2022-01,high,67
2022-01,low,36
2022-01,medium,162
2022-02,critical,5
2022-02,high,39
2022-02,low,2
2022-02,medium,48
2022-03,critical,6
2022-03,high,94
2022-03,low,10
2022-03,medium,50
2022-04,critical,11
2022-04,high,63
2022-04,low,7
2022-04,medium,112
2022-05,critical,5
2022-05,high,103
2022-05,low,11
2022-05,medium,81
2022-06,critical,2
2022-06,high,72
2022-06,low,3
2022-06,medium,37
2022-07,critical,7
2022-07,high,55
2022-07,low,7
2022-07,medium,148
2022-08,critical,1
2022-08,high,46
2022-08,low,2
2022-08,medium,66
2022-09,critical,1
2022-09,high,84
2022-09,low,6
2022-09,medium,64
2022-10,critical,12
2022-10,high,60
2022-10,low,7
2022-10,medium,82
2022-11,critical,2
2022-11,high,40
2022-11,low,4
2022-11,medium,54
2022-12,critical,1
2022-12,high,35
2022-12,low,5
2022-12,medium,51
2023-01,critical,1
2023-01,high,85
2023-01,low,5
2023-01,medium,72
2023-02,critical,5
2023-02,high,72
2023-02,low,3
2023-02,medium,57
2023-03,critical,5
2023-03,high,77
2023-03,low,7
2023-03,medium,85
2023-04,critical,3
2023-04,high,80
2023-04,low,10
2023-04,medium,121
2023-05,critical,1
2023-05,high,26
2023-05,low,1
2023-05,medium,42
2023-06,critical,6
2023-06,high,48
2023-06,low,4
2023-06,medium,48
2023-07,critical,6
2023-07,high,37
2023-07,low,15
2023-07,medium,82
2023-08,critical,3
2023-08,high,54
2023-08,low,3
2023-08,medium,54
2023-09,critical,7
2023-09,high,85
2023-09,low,9
2023-09,medium,49
2023-10,critical,10
2023-10,high,59
2023-10,low,7
2023-10,medium,80
2023-11,critical,10
2023-11,high,70
2023-11,low,4
2023-11,medium,105
2023-12,critical,3
2023-12,high,27
2023-12,low,5
2023-12,medium,226
2024-01,critical,7
2024-01,high,23
2024-01,low,11
2024-01,medium,51
2024-02,critical,15
2024-02,high,45
2024-02,low,5
2024-02,medium,75
2024-03,critical,5
2024-03,high,34
2024-03,low,1
2024-03,medium,79
2024-04,critical,8
2024-04,high,90
2024-04,low,15
2024-04,medium,145
2024-05,critical,1
2024-05,high,49
2024-05,medium,51
2024-06,critical,11
2024-06,high,39
2024-06,low,4
2024-06,medium,185
2024-07,critical,8
2024-07,high,76
2024-07,low,8
2024-07,medium,70
2024-08,critical,6
2024-08,high,66
2024-08,low,1
2024-08,medium,85
2024-09,critical,4
2024-09,high,63
2024-09,low,1
2024-09,medium,39
2024-10,critical,10
2024-10,high,101
2024-10,low,22
2024-10,medium,147
2024-11,critical,5
2024-11,high,100
2024-11,low,2
2024-11,medium,109
2024-12,critical,7
2024-12,high,72
2024-12,low,4
2024-12,medium,137
2025-01,critical,13
2025-01,high,73
2025-01,low,6
2025-01,medium,104
2025-02,critical,4
2025-02,high,47
2025-02,low,7
2025-02,medium,58
2025-03,critical,6
2025-03,high,75
2025-03,low,2
2025-03,medium,66
2025-04,critical,8
2025-04,high,80
2025-04,low,4
2025-04,medium,74
2025-05,critical,16
2025-05,high,68
2025-05,low,6
2025-05,medium,46
2025-06,critical,9
2025-06,high,49
2025-06,low,8
2025-06,medium,284
2025-07,critical,22
2025-07,high,94
2025-07,low,9
2025-07,medium,88
2025-08,critical,8
2025-08,high,75
2025-08,low,6
2025-08,medium,94
2025-09,critical,11
2025-09,high,44
2025-09,medium,52
2025-10,critical,16
2025-10,high,93
2025-10,low,11
2025-10,medium,102
2025-11,critical,8
2025-11,high,62
2025-11,low,2
2025-11,medium,51
2025-12,critical,13
2025-12,high,38
2025-12,low,6
2025-12,medium,138
2026-01,critical,10
2026-01,high,69
2026-01,low,5
2026-01,medium,56
2026-02,critical,7
2026-02,high,54
2026-02,low,2
2026-02,medium,38
2026-03,critical,11
2026-03,high,76
2026-03,low,3
2026-03,medium,119
2026-04,critical,33
2026-04,high,94
2026-04,low,14
2026-04,medium,136
2026-05,critical,37
2026-05,high,115
2026-05,low,3
2026-05,medium,77
2026-06,critical,150
2026-06,high,242
2026-06,low,12
2026-06,medium,165
2026-07,critical,45
2026-07,high,203
2026-07,low,2
2026-07,medium,72
