# VulnTrends — Vulnerability backlog (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,openCount
2002-02,Cisco,19
2002-02,Microsoft,346
2002-02,Oracle,55
2002-02,Samsung,1
2002-03,Adobe,5
2002-03,Apple,12
2002-03,Cisco,19
2002-03,Microsoft,366
2002-03,Oracle,57
2002-03,Samsung,1
2002-04,Adobe,5
2002-04,Apple,12
2002-04,Cisco,21
2002-04,Microsoft,378
2002-04,Oracle,59
2002-04,Samsung,1
2002-05,Adobe,5
2002-05,Apple,13
2002-05,Cisco,24
2002-05,Microsoft,391
2002-05,Oracle,60
2002-05,Samsung,1
2002-06,Adobe,5
2002-06,Apple,13
2002-06,Cisco,24
2002-06,Microsoft,393
2002-06,Oracle,60
2002-06,Samsung,1
2002-07,Adobe,5
2002-07,Apple,13
2002-07,Cisco,24
2002-07,Microsoft,410
2002-07,Oracle,72
2002-07,Samsung,1
2002-08,Adobe,5
2002-08,Apple,13
2002-08,Cisco,27
2002-08,Microsoft,438
2002-08,Oracle,76
2002-08,Samsung,1
2002-09,Adobe,5
2002-09,Apple,14
2002-09,Cisco,30
2002-09,Microsoft,457
2002-09,Oracle,79
2002-09,Samsung,1
2002-10,Adobe,10
2002-10,Apple,14
2002-10,Cisco,50
2002-10,Microsoft,475
2002-10,Oracle,86
2002-10,Samsung,1
2002-11,Adobe,10
2002-11,Apple,14
2002-11,Cisco,50
2002-11,Microsoft,490
2002-11,Oracle,88
2002-11,Samsung,1
2002-12,Adobe,11
2002-12,Apple,17
2002-12,Cisco,51
2002-12,Microsoft,542
2002-12,Oracle,107
2002-12,Samsung,1
2003-02,Adobe,11
2003-02,Apple,17
2003-02,Cisco,51
2003-02,Microsoft,547
2003-02,Oracle,108
2003-02,Samsung,1
2003-03,Adobe,11
2003-03,Apple,23
2003-03,Cisco,57
2003-03,Microsoft,548
2003-03,Oracle,112
2003-03,Samsung,1
2003-04,Adobe,12
2003-04,Apple,24
2003-04,Cisco,59
2003-04,Microsoft,549
2003-04,Oracle,112
2003-04,Samsung,1
2003-05,Adobe,12
2003-05,Apple,24
2003-05,Cisco,63
2003-05,Microsoft,559
2003-05,Oracle,113
2003-05,Samsung,1
2003-06,Adobe,13
2003-06,Apple,26
2003-06,Cisco,63
2003-06,Microsoft,568
2003-06,Oracle,114
2003-06,Samsung,1
2003-07,Adobe,14
2003-07,Apple,27
2003-07,Cisco,63
2003-07,Microsoft,571
2003-07,Oracle,114
2003-07,Samsung,1
2003-08,Adobe,16
2003-08,Apple,34
2003-08,Cisco,65
2003-08,Microsoft,586
2003-08,Oracle,117
2003-08,Samsung,1
2003-09,Adobe,16
2003-09,Apple,34
2003-09,Cisco,65
2003-09,Microsoft,587
2003-09,Oracle,118
2003-09,Samsung,1
2003-10,Adobe,16
2003-10,Apple,34
2003-10,Cisco,67
2003-10,Microsoft,591
2003-10,Oracle,120
2003-10,Samsung,1
2003-11,Adobe,16
2003-11,Apple,34
2003-11,Cisco,67
2003-11,Microsoft,595
2003-11,Oracle,123
2003-11,Samsung,1
2003-12,Adobe,16
2003-12,Apple,38
2003-12,Cisco,69
2003-12,Microsoft,609
2003-12,Oracle,127
2003-12,Samsung,1
2004-01,Adobe,16
2004-01,Apple,38
2004-01,Cisco,74
2004-01,Microsoft,614
2004-01,Oracle,128
2004-01,Samsung,1
2004-02,Adobe,16
2004-02,Apple,39
2004-02,Cisco,75
2004-02,Microsoft,624
2004-02,Oracle,128
2004-02,Samsung,1
2004-03,Adobe,17
2004-03,Apple,40
2004-03,Cisco,75
2004-03,Microsoft,625
2004-03,Oracle,129
2004-03,Samsung,1
2004-04,Adobe,17
2004-04,Apple,41
2004-04,Cisco,75
2004-04,Microsoft,630
2004-04,Oracle,129
2004-04,Samsung,1
2004-05,Adobe,17
2004-05,Apple,41
2004-05,Cisco,75
2004-05,Microsoft,632
2004-05,Oracle,130
2004-05,Samsung,1
2004-06,Adobe,17
2004-06,Apple,41
2004-06,Cisco,76
2004-06,Microsoft,637
2004-06,Oracle,132
2004-06,Samsung,1
2004-07,Adobe,18
2004-07,Apple,43
2004-07,Cisco,77
2004-07,Microsoft,647
2004-07,Oracle,133
2004-07,Samsung,1
2004-08,Adobe,20
2004-08,Apple,43
2004-08,Cisco,77
2004-08,Microsoft,659
2004-08,Oracle,145
2004-08,Samsung,1
2004-09,Adobe,21
2004-09,Apple,43
2004-09,Cisco,77
2004-09,Microsoft,664
2004-09,Oracle,147
2004-09,Samsung,1
2004-10,Adobe,22
2004-10,Apple,43
2004-10,Cisco,77
2004-10,Microsoft,664
2004-10,Oracle,147
2004-10,Samsung,1
2004-11,Adobe,22
2004-11,Apple,45
2004-11,Cisco,83
2004-11,Microsoft,679
2004-11,Oracle,150
2004-11,Samsung,1
